USER_ID,EDAD,GENERO,CIUDAD,NOMBRE,APELLIDO,ESTADO_CIVIL,EMAIL,TELEFONO,VIGENCIA_DESDE,VIGENCIA_HASTA,Cedula,MARCA,MODELO,PUERTAS,TIPO,PRECIO,ANO,KILOMETRAJE,PRECIO_POLIZA,CARRO
0,36,MASCULINO,Valledupar,JUAN,GIL,SOLTERO,juan.gil16@workmail.com,3116828496,2019-02-15 00:30:00,2024-06-27 14:00:00,65.664.214,Toyota,Hilux,4,Camioneta,138000000,2016,59706,8900000,Toyota Hilux 2016
1,18,MASCULINO,Armenia,IKER,NUÑEZ,CASADO,iker.nuñez48@workmail.com,3189106018,2019-05-12 07:00:00,2024-02-06 14:30:00,66.529.736,Toyota,4Runner,4,Camioneta,177000000,2014,97423,10850000,Toyota 4Runner 2014
2,28,MASCULINO,Santander de Quilichao,JOSE LUIS,IGLESIAS,CASADO,joseluis.iglesias17@workmail.com,3162982132,2018-12-20 05:00:00,2024-06-08 15:30:00,74.874.708,Renault,Clio,4,Hatchback,21500000,2017,68046,3075000,Renault Clio 2017
3,49,FEMENINO,Sabanalarga,MARIA ISABEL,MOLINA,SOLTERO,mariaisabel.molina68@workmail.com,3151470109,2019-01-03 22:30:00,2024-05-12 07:00:00,57.513.328,Mazda,BT-50,4,Camioneta,9000000,2016,78408,2450000,Mazda BT-50 2016
4,47,FEMENINO,Cucuta,SARA,GIMENEZ,CASADO,sara.gimenez87@workmail.com,3014860420,2019-04-10 17:30:00,2024-04-17 01:00:00,59.047.457,Renault,Clio,4,Hatchback,21500000,2017,64149,3075000,Renault Clio 2017
5,44,MASCULINO,Manizales,DANIEL,ORTIZ,CASADO,daniel.ortiz68@workmail.com,3168431350,2019-05-05 23:30:00,2024-06-04 10:30:00,87.943.749,Toyota,Corolla,4,Sedan,73000000,2012,116616,5650000,Toyota Corolla 2012
6,31,FEMENINO,Soacha,MARIA JOSE,FLORES,SOLTERO,mariajose.flores08@workmail.com,3017750062,2019-03-24 21:30:00,2024-01-24 23:30:00,76.877.858,Volkswagen,Golf,4,Hatchback,73500000,2013,189935,5675000,Volkswagen Golf 2013
7,42,MASCULINO,Popayan,MIGUEL,SERRANO,SOLTERO,miguel.serrano77@workmail.com,3204671770,2019-01-16 13:30:00,2023-12-26 12:30:00,76.595.526,Chevrolet,Spark GT,4,Hatchback,33000000,2016,67453,3650000,Chevrolet Spark GT 2016
8,50,MASCULINO,Palmira,JORDI,LOZANO,SOLTERO,jordi.lozano55@workmail.com,3007923637,2019-05-03 21:00:00,2024-05-10 04:30:00,72.867.946,Renault,Twingo,2,Hatchback,19000000,2014,151170,2950000,Renault Twingo 2014
9,44,FEMENINO,Cerete,LIDIA,PARRA,CASADO,lidia.parra57@workmail.com,3014989174,2019-05-14 09:30:00,2024-01-01 20:00:00,68.887.280,Renault,Logan,4,Sedan,39500000,2013,157258,3975000,Renault Logan 2013
10,47,FEMENINO,Armenia,MIRIAM,SANTANA,CASADO,miriam.santana48@workmail.com,3104140363,2019-05-05 23:30:00,2024-02-19 05:30:00,77.898.086,Toyota,Hilux,4,Camioneta,136000000,2012,181870,8800000,Toyota Hilux 2012
11,52,FEMENINO,Itagui,MONICA,LEON,SOLTERO,monica.leon65@workmail.com,3113184722,2019-04-27 13:30:00,2023-12-22 07:30:00,57.387.413,Toyota,4Runner,4,Camioneta,176000000,2012,160639,10800000,Toyota 4Runner 2012
